tier,company,domain,jurisdiction,found_email_1,found_email_2,guessed_email,contact_page,linkedin,subject,lead_id
0,"UK AI Safety Institute (AISI)",aisi.gov.uk,Regulator / Evals,,,info@aisi.gov.uk,,https://www.linkedin.com/search/results/companies/?keywords=UK%20AI%20Safety%20Institute%20(AISI),"UK AI Safety Institute (AISI): Frontier model evaluations",T0-001
0,"UK Cabinet Office — i.AI team",gov.uk,Sovereign,,,info@gov.uk,https://gov.uk/contact,https://www.linkedin.com/search/results/companies/?keywords=UK%20Cabinet%20Office%20%E2%80%94%20i.AI%20team,"UK Cabinet Office — i.AI team: Incubator for AI, £100M sovereign AI budget",T0-002
0,"UK Department for Science, Innovation & Technology (DSIT)",gov.uk,Policy,,,info@gov.uk,https://gov.uk/contact,https://www.linkedin.com/search/results/companies/?keywords=UK%20Department%20for%20Science%2C%20Innovation%20%26%20Technology%20(DSIT),"UK Department for Science, Innovation & Technology (DSIT): Pro-innovation AI Regulation white paper",T0-003
0,"UK Centre for Data Ethics and Innovation (CDEI)",gov.uk,Advisory,,,info@gov.uk,https://gov.uk/contact,https://www.linkedin.com/search/results/companies/?keywords=UK%20Centre%20for%20Data%20Ethics%20and%20Innovation%20(CDEI),"UK Centre for Data Ethics and Innovation (CDEI): AI assurance framework",T0-004
0,"UK Office for AI",gov.uk,Policy,,,info@gov.uk,https://gov.uk/contact,https://www.linkedin.com/search/results/companies/?keywords=UK%20Office%20for%20AI,"UK Office for AI: National AI Strategy 2021",T0-005
0,"UK Department for Business & Trade (DBT)",gov.uk,Trade,,,info@gov.uk,https://gov.uk/contact,https://www.linkedin.com/search/results/companies/?keywords=UK%20Department%20for%20Business%20%26%20Trade%20(DBT),"UK Department for Business & Trade (DBT): ""AI Growth Zones"" announcement",T0-006
0,"EU AI Office",europa.eu,Regulator,,,info@europa.eu,https://europa.eu/contact,https://www.linkedin.com/search/results/companies/?keywords=EU%20AI%20Office,"EU AI Office: AI Act enforcement August 2026",T0-007
0,"DG CONNECT — AI & Digital Industry",dg.com,Policy,,,info@dg.com,,https://www.linkedin.com/search/results/companies/?keywords=DG%20CONNECT%20%E2%80%94%20AI%20%26%20Digital%20Industry,"DG CONNECT — AI & Digital Industry: EU AI Act implementation",T0-008
0,"DG COMP",dg.com,Competition,,,info@dg.com,,https://www.linkedin.com/search/results/companies/?keywords=DG%20COMP,"DG COMP: AI competition policy",T0-009
0,"Joint Research Centre (JRC)",joint.com,Research,,,info@joint.com,,https://www.linkedin.com/search/results/companies/?keywords=Joint%20Research%20Centre%20(JRC),"Joint Research Centre (JRC): AI Watch + ALTAI",T0-010
0,"EU Cybersecurity Agency (ENISA)",europa.eu,Cyber,,,info@europa.eu,https://europa.eu/contact,https://www.linkedin.com/search/results/companies/?keywords=EU%20Cybersecurity%20Agency%20(ENISA),"EU Cybersecurity Agency (ENISA): AI Cybersecurity Guidance",T0-011
